,id_response,response_option,response_description
566,588,4.0,Do not know / no opinion
567,589,1.0,Forward
568,590,2.0,Will stay the same
569,591,3.0,Backwards
570,592,4.0,Do not know / no opinion
571,593,1.0,
572,594,10.0,10
573,595,2.0,
574,596,3.0,
575,597,4.0,
576,598,5.0,
577,599,6.0,
578,600,7.0,
579,601,8.0,
580,602,9.0,
581,603,1.0,
582,604,10.0,10
583,605,2.0,
584,606,3.0,
585,607,4.0,
586,608,5.0,
587,609,6.0,
588,610,7.0,
589,611,8.0,
590,612,9.0,
591,613,1.0,
592,614,10.0,10
593,615,2.0,
594,616,3.0,
595,617,4.0,
596,618,5.0,
597,619,6.0,
598,620,7.0,
599,621,8.0,
600,622,9.0,
601,623,1.0,
602,624,10.0,10
603,625,2.0,
604,626,3.0,
605,627,4.0,
606,628,5.0,
607,629,6.0,
608,630,7.0,
609,631,8.0,
610,632,9.0,
611,633,1.0,Very positive
612,634,2.0,Positive
613,635,3.0,Neutral
614,636,4.0,Negative
615,637,5.0,Very negative
616,638,6.0,No idea
617,641,0.0,Age
618,642,1.0,Age
619,643,10.0,Age
620,644,100.0,Age
621,645,101.0,Age
622,646,102.0,Age
623,647,103.0,Age
624,648,104.0,Age
625,649,105.0,Age
626,650,106.0,Age
627,651,107.0,Age
628,652,108.0,Age
629,653,109.0,Age
630,654,11.0,Age
631,655,12.0,Age
632,656,13.0,Age
633,657,14.0,Age
634,658,15.0,Age
635,659,16.0,Age
636,660,17.0,Age
637,661,18.0,Age
638,662,19.0,Age
639,663,2.0,Age
640,664,20.0,Age
641,665,21.0,Age
642,666,22.0,Age
643,667,23.0,Age
644,668,24.0,Age
645,669,25.0,Age
646,670,26.0,Age
647,671,27.0,Age
648,672,28.0,Age
649,673,29.0,Age
650,674,3.0,Age
651,675,30.0,Age
652,676,31.0,Age
653,677,32.0,Age
654,678,33.0,Age
655,679,34.0,Age
656,680,35.0,Age
657,681,36.0,Age
658,682,37.0,Age
659,683,38.0,Age
660,684,39.0,Age
661,685,4.0,Age
662,686,40.0,Age
663,687,41.0,Age
664,688,42.0,Age
665,689,43.0,Age
666,690,44.0,Age
667,691,45.0,Age
668,692,46.0,Age
669,693,47.0,Age
670,694,48.0,Age
671,695,49.0,Age
672,696,5.0,Age
673,697,50.0,Age
674,698,51.0,Age
675,699,52.0,Age
676,700,53.0,Age
677,701,54.0,Age
678,702,55.0,Age
679,703,56.0,Age
680,704,57.0,Age
681,705,58.0,Age
682,706,59.0,Age
683,707,6.0,Age
684,708,60.0,Age
685,709,61.0,Age
686,710,62.0,Age
687,711,63.0,Age
688,712,64.0,Age
689,713,65.0,Age
690,714,66.0,Age
691,715,67.0,Age
692,716,68.0,Age
693,717,69.0,Age
694,718,7.0,Age
695,719,70.0,Age
696,720,71.0,Age
697,721,72.0,Age
698,722,73.0,Age
699,723,74.0,Age
700,724,75.0,Age
701,725,76.0,Age
702,726,77.0,Age
703,727,78.0,Age
704,728,79.0,Age
705,729,8.0,Age
706,730,80.0,Age
707,731,81.0,Age
708,732,82.0,Age
709,733,83.0,Age
710,734,84.0,Age
711,735,85.0,Age
712,736,86.0,Age
713,737,87.0,Age
714,738,88.0,Age
715,739,89.0,Age
716,740,9.0,Age
717,741,90.0,Age
718,742,91.0,Age
719,743,92.0,Age
720,744,93.0,Age
721,745,94.0,Age
722,746,95.0,Age
723,747,96.0,Age
724,748,97.0,Age
725,749,98.0,Age
726,750,99.0,Age
727,751,1.0,Single/living alone
728,752,2.0,Two adults with child(ren)
729,753,3.0,Two adults without child(ren)
730,754,4.0,ETn adult with child(ren)/single-parent family
731,755,5.0,Otherwise
732,757,1.0,Primary school/primary education/no education
733,758,2.0,Vmbo/Mavo
734,759,3.0,Vwo/Havo
735,760,4.0,Secondary vocational education (mbo)
736,761,5.0,Higher professional education (hbo)
737,762,6.0,Science education (university)
738,763,1.0,man
739,764,2.0,Woman
740,765,1.0,Extremely happy
741,766,2.0,Happy
742,767,3.0,Not happy/not unhappy
743,768,4.0,Not so lucky
744,769,5.0,Unhappy
745,770,6.0,No answer
746,771,1.0,"Yes, I would like to become a member. My email address is:"
747,772,2.0,"No, I don't want to become a member."
748,774,1.0,Yes
749,775,2.0,no
750,776,1.0,Yes
751,777,2.0,no
752,778,1.0,Yes
753,779,2.0,no
754,780,1.0,Yes
755,781,2.0,no
756,782,1.0,Yes
757,783,2.0,no
758,784,1.0,Yes
759,785,2.0,no
760,786,1.0,Yes
761,787,2.0,no
762,788,1.0,Yes
763,789,2.0,no
764,790,1.0,Yes
765,791,2.0,no
766,792,1.0,Yes
767,793,2.0,no
768,794,1.0,Very easy
769,795,2.0,Easy
770,796,3.0,Just come around
771,797,4.0,Difficult
772,798,5.0,Very difficult
773,806,1.0,intensive
774,807,2.0,incidental
775,808,3.0,(almost never
776,809,1.0,intensive
777,810,2.0,incidental
778,811,3.0,(almost never
779,812,1.0,intensive
780,813,2.0,incidental
781,814,3.0,(almost never
782,815,1.0,intensive
783,816,2.0,incidental
784,817,3.0,(almost never
785,818,1.0,intensive
786,819,2.0,incidental
787,820,3.0,(almost never
788,821,1.0,"Yes, intensively"
789,822,2.0,"Yes, incidentally"
790,823,3.0,"No, (almost) not"
791,824,1.0,"yes, that's right"
792,825,2.0,more or less
793,826,3.0,"no, that's not really true"
794,827,4.0,no answer
795,828,1.0,"yes, that's right"
796,829,2.0,more or less
797,830,3.0,"no, that's not really true"
798,831,4.0,no answer
799,832,1.0,"yes, that's right"
800,833,2.0,more or less
801,834,3.0,"no, that's not really true"
802,835,4.0,no answer
803,836,1.0,"yes, that's right"
804,837,2.0,more or less
805,838,3.0,"no, that's not really true"
806,839,4.0,no answer
807,840,1.0,"yes, that's right"
808,841,2.0,more or less
809,842,3.0,"no, that's not really true"
810,843,4.0,no answer
811,844,1.0,"yes, that's right"
812,845,2.0,more or less
813,846,3.0,"no, that's not really true"
814,847,4.0,no answer
815,848,1.0,"yes, that's right"
816,849,2.0,more or less
817,850,3.0,"no, that's not really true"
818,851,4.0,no answer
819,852,1.0,often
820,853,2.0,regularly
821,854,3.0,sometimes
822,855,4.0,rarely/never
823,856,1.0,often
824,857,2.0,regularly
825,858,3.0,sometimes
826,859,4.0,rarely/never
827,860,1.0,often
828,861,2.0,regularly
829,862,3.0,sometimes
830,863,4.0,rarely/never
831,864,1.0,often
832,865,2.0,regularly
833,866,3.0,sometimes
834,867,4.0,rarely/never
835,868,1.0,often
836,869,2.0,regularly
837,870,3.0,sometimes
838,871,4.0,rarely/never
839,872,1.0,often
840,873,2.0,regularly
841,874,3.0,sometimes
842,875,4.0,rarely/never
843,876,1.0,totally agree
844,877,2.0,agree
845,878,3.0,agree/disagree
846,879,4.0,disagree
847,880,5.0,completely disagree
848,881,1.0,totally agree
849,882,2.0,agree
850,883,3.0,agree/disagree
851,884,4.0,disagree
852,885,5.0,completely disagree
853,886,1.0,"Yes, almost always"
854,887,2.0,"Yes, usually"
855,888,3.0,"Sometimes yes, sometimes no"
856,889,4.0,"No, usually not"
857,890,5.0,"No, almost never"
858,912,1.0,Less than 2 years
859,913,2.0,2 to 5 years
860,914,3.0,5 to 10 years
861,915,4.0,10 years or more
862,916,1.0,Detached
863,917,10.0,One-room apartment/studio
864,918,11.0,"Otherwise, namely:"
865,919,2.0,Two under TTn hood
866,920,3.0,Houses in a row or semi-detached
867,921,4.0,Corner house
868,922,5.0,Flat/apartment without elevator
869,923,6.0,Flat/apartment mTt lift
870,924,7.0,Self-contained senior residence
871,925,8.0,Residential care complex / nursing home / sheltered housing
872,926,9.0,Room occupancy/student housing
873,928,1.0,Owner-occupied home
874,929,2.0,Rental property of a housing association
875,930,3.0,House rented from a private landlord
876,931,1.0,No nuisance
877,932,3.0,More nuisance
878,933,2.0,Sometimes nuisance
879,934,3.0,More nuisance
880,935,1.0,No nuisance
881,936,3.0,More nuisance
882,937,2.0,Sometimes nuisance
883,938,2.0,Sometimes nuisance
884,939,1.0,No nuisance
885,940,1.0,No nuisance
886,941,2.0,Sometimes nuisance
887,942,1.0,agree
888,943,2.0,neutral
889,944,3.0,do not agree with
890,945,1.0,agree
891,946,2.0,neutral
892,947,3.0,do not agree with
893,948,1.0,agree
894,949,2.0,neutral
895,950,3.0,do not agree with
896,951,1.0,agree
897,952,2.0,neutral
898,953,3.0,do not agree with
899,954,1.0,agree
900,955,2.0,neutral
901,956,3.0,do not agree with
902,959,1.0,"Yes, my home is suitable for this"
903,960,2.0,"Yes, but some things must be renovated for this (e.g. stair lift, step-in bath, sleeping area downstairs, removal of thresholds"
904,961,3.0,"No, my home is not suitable for this"
905,962,4.0,I do not know
906,963,1.0,In the center / downtown
907,964,2.0,In a village
908,965,3.0,"In a busy area with amenities, just outside the center"
909,966,3.0,More nuisance
910,967,4.0,In a rural setting
911,968,5.0,"In a quiet and green residential area, just outside the center"
912,969,6.0,Neighborhood on the outskirts of the city
913,970,7.0,"Otherwise, namely:"
914,972,1.0,"No, definitely not"
915,973,2.0,"Yes, possibly"
916,974,3.0,"Yes, I would like to, but can't find anything"
917,975,4.0,"Yes, definitely"
918,976,6.0,"Yes, have already found other housing/home"
919,977,7.0,Do not know yet
920,978,1.0,I am satisfied with my home
921,979,10.0,I'm too old to move
922,980,11.0,I can't get financing from the mortgage lender
923,981,12.0,"Something else, namely:"
924,982,2.0,I am satisfied with my living environment
925,983,3.0,I prefer to grow
926,984,4.0,"I would like to move, but I find my housing costs too high when moving to another home"
927,985,5.0,Selling my house is difficult
928,986,6.0,"Due to the stricter requirements for social rental housing, I am only eligible for a more expensive rental home"
929,987,7.0,Due to residual debt on current home when sold
930,988,8.0,I'd rather stay at home
931,989,9.0,"I want to continue to live close to my work, company or study"
932,991,1.0,Yes
933,992,2.0,No
934,993,1.0,Own neighborhood
935,994,10.0,Ulven wood
936,995,11.0,Prinsenbeek
937,996,12.0,Teterings
938,997,13.0,"Outer area of ​​Breda (Effen-de Rith, Liesbos, rural area around Bavel, Ulvenhout or Prinsenbeek)"
939,998,14.0,Oosterhout
940,999,15.0,Etten-Leur
941,1000,16.0,Another municipality in the Breda region
942,1001,17.0,Municipality outside the Breda region
943,1002,2.0,"Center (City, Valkenberg, ChassT, Fellenoord, Schorsmolen, Station, Belcrum)"
944,1003,3.0,"Breda North (Geeren-North, Geeren-South, Biesdonk, Wisselaar, Doornbos-Line, Waterdonken)"
945,1004,4.0,"Breda East (Brabantpark, Heusdenhout, Zandberg, Sportpark)"
946,1005,5.0,"Breda South-East (Blauwe Kei, Ypelaar, Overakker, Ginneken)"
947,1006,6.0,"Breda South (Boeimeer, Ruitersbos)"
948,1007,7.0,"Breda West (Haagpoort, Heuvel, Tuinzigt, Princenhage, Westerpark)"
949,1008,8.0,"Haagse Beemden (Gageldonk, Kievitsloop, Kestern, Muizenberg, Heksenwiel, Overkroeten, Kroeten)"
