,id_question,question_description,subquestion_description,abbreviated_question
26,30,What do you think of the following statements about your current home?,The house needs urgent maintenance,Urgent maintenance
27,32,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Thinking along with neighbors about the future of the neighborhood.,Thinking along with neighbors about the future of the neighborhood
28,33,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith (recalculated without N/A),Feeling of being treated unfairly/unequally on belief/religion (recalculated without N/A)
29,34,Where or when was this?,At work / when finding work,Treated unfairly/unequally at work/when looking for work
30,35,Where or when was this?,At School / Training / Internship (recalculated without N/A),Unfair/unequally treated at school/education/internship (recalculated without N/A)
31,36,Does it ever happen that you à,don't open in the evening or at night because you don't think it's safe?,"Doesn't open at night, finds it unsafe"
32,37,To what extent do you agree with the following statements?,In the past year I have gained more confidence in the future,More confidence in the future
33,119,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The safety,Security has changed in my neighborhood
34,39,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Open answer to closed question,Opinion Bredanaars
35,40,In which of the following associations / organizations have you been active in the past 12 months? Sports association,At school / education / childcare,Active at school/education/childcare
36,41,"During the past 12 months, how often did you do the following activities in your spare time?",Sports activities (sports yourself or attending sports competitions).,Often sporting activities
37,42,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,healthcare facilities,Satisfied with the range of health care facilities in the area
38,45,What were the main reasons you moved at the time?,Family expansion,Moved for family expansion
39,46,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Violent crimes,Violent crime is (sometimes) common in my neighborhood
40,47,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness,Feeling unfair/unequally treated by gender
41,48,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is plenty of greenery in my neighbourhood.,There is plenty of greenery in my neighbourhood
42,49,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction to cars and theft from,Been a victim of damage/destruction to cars
43,50,To what extent do you agree with the following statements?,In the past year I have had more contact with people in my neighborhood,I had more contact with people in my neighbourhood
44,51,"If you need help or care, you can fall back on:",friends,Can rely on friends
45,52,On what basis did you feel you were treated unfairly or unequally?,Origin / Skin color,Feeling of being treated unfairly/unequally based on origin/skin colour
46,54,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Drug laboratories,Drug laboratories are common in the area
47,55,What were the main reasons you moved at the time?,Health / need for extra care,Relocated due to health/care needs
48,57,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,healthcare facilities,Satisfied with the range of health care facilities in the area
49,58,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,primary education,Satisfied with the supply of primary education in the area
50,59,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Dog poop,Dog poop is (sometimes) common in my neighborhood
51,60,Has the following happened to you or anyone else in your household in the past 12 months?,Hacking,Hacking occurred in household
52,61,Can you manage well when it comes to:,the education of your children,Can cope well with the upbringing of children
53,62,To what extent do you agree with the following statements?,In the past year I have started to feel more involved in the neighborhood where I live,Feels more involved with the neighborhood where I live
54,63,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Street furniture, such as garbage cans, benches and bus shelters, that has been destroyed",Destroyed street furniture is (sometimes) common in my neighborhood
55,64,On what basis did you feel you were treated unfairly or unequally?,Gender (recalculated without N/A),Feeling of being treated unfairly/unequally by gender (recalculated without N/A)
56,65,What were the main reasons you moved at the time?,Insufficient facilities in the area,Moved due to insufficient facilities in the area
57,66,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The safety,Security has changed in my neighborhood
58,67,Please indicate the extent to which each of the following statements applies to you as you have been lately?,There are enough people with whom I feel close.,Enough people with whom I feel closely connected
59,69,Are you someone who,manages to get through difficult times,Knows how to get through difficult times
60,70,Where or when was this?,In cafe / restaurant or other place of entertainment (recalculated without N/A),Unfairly/unequally treated in bar/restaurant or other place of entertainment (recalculated without N/A)
61,71,Why didn't you report it to the municipality?,Failed to report,Unable to report
62,72,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","(attempted) burglary in your home, without theft",Been a victim of (attempted) burglary in a home without theft
63,74,What were the main reasons you moved at the time?,I wanted to buy a home instead of renting,Moved to buy a house instead of renting
64,237,Do you have for your home:,"Do you have: fire extinguishers, such as fire extinguisher and/or fire blanket",Fire extinguishers for my home
65,77,Please indicate the extent to which each of the following statements applies to you as you have been lately?,In miss people around me.,Miss people around me
66,78,To what extent do you agree or disagree with the following statements about the municipality?,The municipality focuses on improving quality of life and safety.,The municipality focuses on improving quality of life and safety
67,79,Can you manage well when it comes to:,establishing and maintaining social contacts,Can cope well with entering into and maintaining social contacts
68,81,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,Local residents are always there for each other.,Local residents are always there for each other
69,82,Are you getting help with anything?,Administration / finance,Get help with administration/finance
70,83,Which of the following activity(s) applies to you?,I do not work because I am long-term sick or incapacitated for work.,Do not work because I am long-term ill or incapacitated for work
71,84,Are you someone who,"easily call in friends, family or acquaintances if necessary",Easily engages friends/family/acquaintances
72,85,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Threat of physical violence,Been a victim of threats of physical violence
73,86,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the care of residents for their home and garden,Satisfied with the care of residents for their home and garden
74,87,"During the past 12 months, how often did you do the following activities in your spare time?",Meeting up with friends for fun or to do fun things together.,Meeting up with friends often
75,88,Do you have for your home:,Do you have: extra security locks or latches on the outside doors,Extra security locks/bolts on the outside doors of my home
76,89,Do you want to sign up for,Raffle,Submitted for raffle
77,90,Why didn't you report it to the municipality?,It was already resolved,"Didn't report, was already resolved"
78,93,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,facilities for young people,Satisfied with the range of facilities for young people in the neighbourhood
79,94,Are you getting help with anything?,Your psychological/mental health,Get mental/mental health help
80,95,"If you need help or care, you can fall back on:",friends,Can rely on friends
81,96,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Nuisance by local residents,Nuisance caused by local residents is common in my neighbourhood
82,97,What type of living environment do you want?,What type of living environment do you want?,Moving to what kind of living environment
83,98,What type of house do you live in?,What type of house do you live in?,Type of house
84,99,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",Appearance,Appearance changed in my neighborhood
85,100,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,The people in the neighborhood barely know each other.,The people in the neighborhood hardly know each other
86,101,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Cannabis plantations,Weed plantations are located nearby
87,103,Do you have for your home:,Do you have: a working smoke detector,Working smoke detector for my home
88,104,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Parking problems, for example incorrectly parked vehicles or crowds",Parking problems are (sometimes) common in my neighborhood
89,105,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Theft OF a car, motorcycle or scooter","Been a victim of theft of a car, motorcycle or scooter"
90,108,Are you getting help with anything?,Household chores,Get help with household chores
91,109,To what extent do you agree or disagree with the following statements about the municipality?,The council does what it says.,The council does what it says
92,112,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Youth crime,Juvenile delinquency is (sometimes) common in my neighborhood
93,115,Are you getting help with anything?,Establishing and maintaining social contacts,Help with establishing and maintaining social contacts
94,116,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,My neighborhood is clean.,My neighborhood is clean
95,117,What were the main reasons you moved at the time?,Living environment / residential area,Moved due to environment / residential area
96,120,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,play facilities (for children up to 12 years old),Satisfied with the range of play facilities in the area
97,121,Please indicate the extent to which each of the following statements applies to you as you have been lately?,There are enough people with whom I feel close.,Enough people with whom I feel closely connected
98,122,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Aggressive behavior in traffic,Aggressive behavior in traffic is (sometimes) common in my neighbourhood
99,123,Does it ever happen that you à,don't feel comfortable being home alone at night?,Feels uncomfortable alone at home
100,124,What were the main reasons you moved at the time?,Live independently,Moved to live independently
101,125,Can you manage well when it comes to:,the education of your children,Can cope well with the upbringing of children
102,126,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,public transport,Satisfied with the public transport offer
103,127,Which of the following activity(s) applies to you?,I am studying/following a course/at school.,Study/get an education/go to school
104,128,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Young people hanging around,Youth loitering is (sometimes) common in my neighborhood
105,130,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,I hardly have any contact with people in my neighbourhood,I hardly have any contact with people in my neighbourhood
106,131,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with neighborhood watch (watch what happens and report irregularities to the relevant authorities).,Help with neighborhood prevention
107,132,To what extent have you committed yourself to others in the past 12 months?,informal care to a family member or relative,Provide informal care to family member/relative
108,133,"During the past 12 months, how often did you do the following activities in your spare time?","Cultural trips (theatre, museum, film festival, etc.).",Often done cultural trips
109,134,Which of the following activity(s) applies to you?,I am taking part in a reintegration programme.,Participate in reintegration process
110,135,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At school / in the schoolyard,Meet the people from my neighborhood at school / in the schoolyard
111,137,Why didn't you report it to the municipality?,I didn't know you could report this to the municipality,Didn't know you could report it to the council
112,138,Why didn't you report it to the municipality?,Through guilt or shame,Not reported due to guilt or shame
113,140,Which of the following activity(s) applies to you?,I do paid work for at least 12 hours a week.,Do paid work (at least 12 hours per week)
114,141,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Open answer to closed question,Opinion Bredanaars
115,142,What were the main reasons you moved at the time?,Because of study / work,Moved because of study/work
116,144,What do you think of the following statements about your current home?,The house is too small.,House is too small
117,145,What were the main reasons you moved at the time?,I wanted to buy a home instead of renting,Moved to buy a house instead of renting
118,146,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Helping organize (social and/or youth) activities for the neighbourhood.,Help organize activities for the neighborhood
119,147,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in your home, with theft",Been a victim of burglary/theft at home
120,148,What were the main reasons you moved at the time?,Live independently,Moved to live independently
121,149,"If you need help or care, you can fall back on:",friends,Can rely on friends
122,150,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At school / in the schoolyard,Meet the people from my neighborhood at school / in the schoolyard
123,151,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",People harassed in the street,People being harassed on the street is (sometimes) common in my neighborhood
124,152,Do you have for your home:,Do you have: agreements about escaping the house in the event of a fire,Agreements about escaping the house in the event of a fire
125,154,What do you think of the following statements about your current home?,The house needs urgent maintenance,Urgent maintenance
126,155,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc. (recalculated without N/A)",Copes well with general daily activities (recalculated without N/A)
127,156,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is ample parking in my neighborhood.,There is ample parking in my neighborhood
128,157,Do you have for your home:,Do you have: agreements about escaping the house in the event of a fire,Agreements about escaping the house in the event of a fire
129,158,Which of the following activity(s) applies to you?,I am retired/with prT pension.,Am retired/with pre-retirement
130,563,Why didn't you report it to the municipality?,On the advice of the police,No report was made on the advice of the police
131,159,What were the main reasons you moved at the time?,I wanted to buy a home instead of renting,Moved to buy a house instead of renting
132,160,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,(Members of) Motorcycle Gangs,(Members of) motorcycle gangs are common in the area
133,161,Why didn't you report it to the municipality?,It doesn't help anyway,It does not help to report to the municipality
134,162,To what extent do you agree or disagree with the statements below?,The use of supervisors increases safety in my neighbourhood.,The use of supervisors increases safety in my neighbourhood.
135,163,Are you someone who,"easily call in friends, family or acquaintances if necessary",Easily engages friends/family/acquaintances
136,164,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"Beds, public gardens and parks in my neighborhood are well maintained.","Beds, public gardens and parks in my neighborhood are well maintained"
137,165,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,"I live in a nice neighbourhood, where people help each other and do things together.",Live in a nice neighborhood
138,167,"If you need help or care, you can fall back on:",people nearby,Can rely on people around
139,168,On what basis did you feel you were treated unfairly or unequally?,Sexual preference,Feeling of being treated unfairly/unequally on sexual preference
140,170,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",yourself,Had to deal with cyberbullying myself
141,171,Which of the following activity(s) applies to you?,I am self-employed for less than 12 hours a week (1-11 hours).,Work as a self-employed person (1-11 hours per week)
142,172,"During the past 12 months, how often did you do the following activities in your spare time?",Giving or following courses or lessons (for leisure).,Often giving/following courses or lessons
143,173,Do you want to sign up for,Digipanel,Specified for digipanel
144,175,Which of the following activity(s) applies to you?,I am self-employed for less than 12 hours a week (1-11 hours).,Work as a self-employed person (1-11 hours per week)
145,176,Has the following happened to you or anyone else in your household in the past 12 months?,Hacking,Hacking occurred in household
146,178,Are you getting help with anything?,The education of your children,Get help with raising children
147,179,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc.",Copes well with general daily activities
148,180,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Street furniture, such as garbage cans, benches and bus shelters, that has been destroyed",Destroyed street furniture is (sometimes) common in my neighborhood
149,181,Why didn't you report it to the municipality?,On the advice of the police,No report was made on the advice of the police
150,182,To what extent have you committed yourself to others in the past 12 months?,care for a local resident,Provide informal care to local residents
151,183,Why didn't you report it to the municipality?,It wasn't that important,Not important to report to the municipality
152,184,Has the following happened to you or anyone else in your household in the past 12 months?,Sales fraud,Sales fraud occurred in household
153,185,What were the main reasons you moved at the time?,Favorable time to sell a home,Moved due to favorable period to sell house
154,186,Has the following happened to you or anyone else in your household in the past 12 months?,Identity fraud,Identity fraud occurred in household
155,187,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"Beds, public gardens and parks in my neighborhood are well maintained.","Beds, public gardens and parks in my neighborhood are well maintained"
156,188,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Abuse (outdoors),Been a victim of abuse (outdoors)
157,190,Where or when was this?,At work / when finding work (recalculated without N/A),Unfairly/unequally treated at work/when finding work (recalculated without N/A)
158,191,Where or when was this?,On the street in my neighborhood,Treated unfairly/unequally on the street in my neighbourhood
159,194,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,(Street) Prostitution,(Street) prostitution occurs in the area
160,196,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",yourself,Had to deal with cyberbullying myself
161,238,Which of the following activity(s) applies to you?,"I don't have a paid job right now, but I'm looking for work",Looking for a job
162,197,To what extent do you agree or disagree with the following statements about the municipality?,The municipality appeals to local residents to contribute to quality of life and safety.,The municipality appeals to local residents to contribute to quality of life and safety
163,199,Can you manage well when it comes to:,"walking, sitting and standing (recalculated without N/A)","Copes well with walking, sitting and standing (recalculated without N/A)"
164,200,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Bicycle theft,Victim of bicycle theft
165,201,Do you have for your home:,Do you have: a working smoke detector,Working smoke detector for my home
166,202,What do you think of the following statements about your current home?,The house is poorly maintained.,Property is poorly maintained
167,203,Are you getting help with anything?,The education of your children,Get help with raising children
168,204,Do you have for your home:,Camera surveillance,Camera surveillance for my home
169,205,To what extent do you agree with the following statements?,"In the past year I have helped family, friends or neighbors more often","Helped family, friends or neighbors more often"
170,206,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Other theft,Been a victim of other theft
171,207,Has the following happened to you or anyone else in your household in the past 12 months?,Identity fraud,Identity fraud occurred in household
172,208,Where or when was this?,At School / Training / Internship (recalculated without N/A),Unfair/unequally treated at school/education/internship (recalculated without N/A)
173,209,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Sports association,Active in sports club
174,210,Why didn't you report it to the municipality?,Through guilt or shame,Not reported due to guilt or shame
175,211,What were the main reasons you moved at the time?,Living environment / residential area,Moved due to environment / residential area
176,213,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Theft of wallet, bag, phone, tablet or laptop",Been a victim of theft wallet/bag/phone/tablet/laptop
177,214,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,"Online (Facebook, Instagram, Snapchat, etc.)",Meet the people near me online
178,215,What were the main reasons you moved at the time?,I wanted a rental home instead of a home for sale,Moved to rent instead of buy
179,216,What were the main reasons you moved at the time?,I wanted to buy a home instead of renting,Moved to buy a house instead of renting
180,217,Why didn't you report it to the municipality?,Didn't feel like it or had time for it,Didn't feel like / had time to report to the municipality
181,218,Has the following happened to you or anyone else in your household in the past 12 months?,Identity fraud,Identity fraud occurred in household
182,219,Are you getting help with anything?,Your physical health,Get help with physical health
183,220,To what extent do you agree with the following statements?,In the past year I have had more contact with people in my neighborhood,I had more contact with people in my neighbourhood
184,221,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Defaced walls or buildings/graffiti,Daubed walls/buildings and graffitti are (sometimes) common in my neighbourhood
185,223,Why didn't you report it to the municipality?,This is not a matter for the municipality,Not a matter for the municipality
186,224,"During the past 12 months, how often did you do the following activities in your spare time?","Cultural trips (theatre, museum, film festival, etc.).",Often done cultural trips
187,225,What type of living environment do you want?,What type of living environment do you want?,Moving to what kind of living environment
188,226,Are you getting help with anything?,"Your general daily activities: washing, dressing, going to the toilet, eating, etc.",Get help with daily activities
189,227,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Would you like to become a member of this DigiPanel Breda?,Am a member of DigiPanel Breda
190,228,What do you think of the following statements about your current home?,The house is poorly maintained.,Property is poorly maintained
191,229,Which of the following activity(s) applies to you?,I am self-employed for less than 12 hours a week (1-11 hours).,Work as a self-employed person (1-11 hours per week)
192,230,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"Beds, public gardens and parks in my neighborhood are well maintained.","Beds, public gardens and parks in my neighborhood are well maintained"
193,231,Why didn't you report it to the municipality?,Failed to report,Unable to report
194,232,What were the main reasons you moved at the time?,Health / need for extra care,Relocated due to health/care needs
195,233,Can you manage well when it comes to:,"walking, sitting and standing (recalculated without N/A)","Copes well with walking, sitting and standing (recalculated without N/A)"
196,234,Can you manage well when it comes to:,your physical health,Copes well with physical health
197,236,Does it ever happen that you à,feel unsafe walking down the street in your neighborhood at night?,Unsafe to walk on the street in the neighborhood at night
198,604,What type of house do you live in?,Open answer to closed question,Different kind of house
199,240,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness (recalculated without N/A),Feeling of being treated unfairly/unequally by gender (recalculated without N/A)
200,242,To what extent do you agree or disagree with the following statements about the municipality?,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety. (recalculated without N/A),The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety (recalculated without N/A)
201,243,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The atmosphere,The atmosphere has changed in my neighborhood
202,244,What were the main reasons you moved at the time?,For financial reasons,Moved for financial reasons
203,245,Can you manage well when it comes to:,entering into and maintaining social contacts (recalculated without N/A),Copes well with establishing and maintaining social contacts (recalculated without N/A)
204,247,Are you getting help with anything?,The education of your children,Get help with raising children
205,248,What were the main reasons you moved at the time?,Live independently,Moved to live independently
206,249,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the community center/community house,Meet the people from my neighborhood at the community center / community center
207,250,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Domestic violence,Been a victim of domestic violence
208,251,To what extent do you agree or disagree with the statements below?,The supervisors contribute to reducing nuisance in my neighbourhood.,The supervisors contribute to reducing nuisance in my neighbourhood.
209,252,Which of the following activity(s) applies to you?,I am self-employed for at least 12 hours a week.,Work as a self-employed person (minimum 12 hours per week)
210,253,Does it ever happen that you à,does not allow your child(ren) to go anywhere near you because you do not think it is safe?,Unsafe neighborhood for children
211,254,To what extent have you committed yourself to others in the past 12 months?,informal care to a friend who does not live in your neighbourhood,Provide informal care to a friend who does not live in my neighbourhood
212,255,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Sports association,Active in sports club
213,257,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Drug deal premises,Drug deal premises are common in the area
214,258,What were the main reasons you moved at the time?,Family expansion,Moved for family expansion
215,259,What type of house do you live in?,Open answer to closed question,Different kind of house
216,260,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction to cars and theft from,Been a victim of damage/destruction to cars
217,261,What type of residential area do you currently live in?,What type of residential area do you currently live in?,What type of residential area do you currently live in?
218,262,What were the main reasons you moved at the time?,Living environment / residential area,Moved due to environment / residential area
219,263,Does it ever happen that you à,Are you afraid that you yourself will become a victim of crime?,Fear of becoming a victim of crime
220,264,Are you someone who,picks up the thread easily when it has been against it for a while,Can easily pick up the wire
221,265,On what basis did you feel you were treated unfairly or unequally?,Sexual preference,Feeling of being treated unfairly/unequally on sexual preference
222,266,Are you getting help with anything?,Shopping,Get help with grocery shopping
223,267,Are you someone who,quickly gets upset if something goes wrong or is unclear,Gets upset quickly
224,269,Do you have for your home:,Do you have: a burglar alarm system,Burglar alarm system for my home
225,271,Please indicate the extent to which each of the following statements applies to you as you have been lately?,In miss people around me.,Miss people around me
226,272,What were the main reasons you moved at the time?,Because of the house itself,Moved because of the house itself
227,273,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"Beds, public gardens and parks in my neighborhood are well maintained.","Beds, public gardens and parks in my neighborhood are well maintained"
228,274,Are you getting help with anything?,"Your general daily activities: washing, dressing, going to the toilet, eating, etc.",Get help with daily activities
229,275,Can you manage well when it comes to:,your psychological/mental health,Copes well with mental/mental health
230,276,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Street robbery,Street robbery is common in my neighborhood
231,277,Are you someone who,"easily call in friends, family or acquaintances if necessary",Easily engages friends/family/acquaintances
232,278,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction (to your home or garden),Been a victim of damage/destruction to your home/garden
233,279,On what basis did you feel you were treated unfairly or unequally?,Sex,Feeling unfair/unequally treated by gender
234,282,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Sports association,Active in sports club
235,283,Are you getting help with anything?,Your physical health,Get help with physical health
236,285,What type of housing do you prefer when you go?,(choose a housing type that is financially feasible for you),Preferred housing type if you are moving
237,286,Are you getting help with anything?,Your psychological/mental health,Get mental/mental health help
238,288,To what extent do you agree with the following statements?,In the past year I have gained more confidence in the future,More confidence in the future
239,289,What were the main reasons you moved at the time?,Current home not suitable for the elderly,Moved due to unsuitable housing for the elderly
240,290,What were the main reasons you moved at the time?,Parting,Moved due to divorce
241,294,On what basis did you feel you were treated unfairly or unequally?,Sex,Feeling unfair/unequally treated by gender
242,295,"During the past 12 months, how often did you do the following activities in your spare time?","Excursions that do not cost money (hiking, beach, into the woods, playground).",Often made trips that cost no money
243,296,Can you manage well when it comes to:,the education of your children,Can cope well with the upbringing of children
244,297,Do you want a new or an existing home or a building plot?,What do you prefer?,Preference existing house or plot
245,298,What were the main reasons you moved at the time?,Marriage / cohabitation,moved due to marriage/cohabitation
246,300,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,On the street,Meet the people from my neighborhood on the street
247,301,What were the main reasons you moved at the time?,Poor landlord service,Moved due to poor service landlord
