VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
29,Heeft u in het afgelopen jaar een melding bij de gemeente gedaan van een probleem op het gebied van leefbaarheid of veiligheid?,"Ja, ik heb een medling gedaan + 6 andere antwoorden",
30,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning heeft dringend onderhoud nodig,Dringend onderhoud
31,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Open antwoord bij gesloten vraag,
32,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Meedenken met buurtgenoten over de toekomst van de buurt.,Meedenken met buurgenoten over de toekomst van de buurt
33,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie (herberekend zonder nvt)
34,Waar of wanneer was dit? ,Op het werk / bij het vinden van werk,Oneerlijk/ongelijk behandeld op het werk / bij het vinden van werk
35,Waar of wanneer was dit? ,Op School / opleiding / stage (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op school/opleiding/stage (herberekend zonder nvt)
36,Komt het wel eens voor dat u à,"æs avonds of æs nachts niet open doet, omdat u  het niet veilig vindt?","Doet 's nachts niet open, vindt het onveilig"
37,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer vertrouwen gekregen in de toekomst,Meer vertrouwen gekregen in de toekomst
38, Wilt u bij het liefst gaan kopen of huren?,,Wilt het liefst kopen of huren
119,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",De veiligheid,De veiligheid is veranderd in mijn buurt
39,De Gemeente Breda heeft een online burgerpanel: DigiPanel Breda. Een aantal keer per jaar wordt Bredanaars in een korte enquOte om hun mening gevraagd.,Open antwoord bij gesloten vraag,Mening Bredanaars
40,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Op school / het onderwijs / kinderopvang,Actief op school/hetonderwijs/kinderopvang
41,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Sportieve activiteiten (zelf sporten of sportwedstrijden bezoeken).,Vaak sportieve activiteiten gedaan
42,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,gezondheidszorgvoorzieningen,Tevreden over aanbod gezondheidszorgvoorzieningen in de buurt
43,Wat is de hoogste opleiding die u met een diploma heeft afgerond?,,Wat is de hoogste opleiding die u met een diploma heeft afgerond?
44,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,,
45,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gezinsuitbreiding,Verhuisd om gezinsuitbreiding
46,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Geweldsdelicten,Geweldsdelicten komt  (soms) vaak voor in mijn buurt
47,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
48,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt is voldoende groen.,In mijn buurt is voldoende groen
49,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Beschadiging of vernieling aan auto's en diefstal vanaf,Slachtoffer geweest  van beschadiging/vernieling aan auto's
50,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer contact gehad met mensen in mijn buurt,Meer contact gehad met mensen in mijn buurt
51,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",vrienden,Kan terugvallen op vrienden
52,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur,Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur
53,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. ",,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. "
54,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Drugslaboratoria,Drugslaboratoria komen voor in de buurt
55,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gezondheid / behoefte aan extra zorg,Verhuisd vanwege gezondheid / behoefte aan zorg
56,Wat is voor u de belangrijkste reden om binnen twee jaar te willen verhuizen? , (TTn antwoord mogelijk),
57,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,gezondheidszorgvoorzieningen,Tevreden over aanbod gezondheidszorgvoorzieningen in de buurt
58,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,basisonderwijs,Tevreden over aanbod basisonderwijs in de buurt
59,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Hondenpoep,Hondenpoep komt (soms) vaak voor in mijn buurt
60,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Hacken,Hacken voorgekomen in huishouden
61,Kunt u zich goed redden als het gaat om:,de opvoeding van uw kinderen,Kan zich goed redden met de opvoeding van kinderen
62,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik mij meer betrokken gaan voelen bij de buurt waar ik woon,Voelt meer betrokken bij de buurt waar ik woon
63,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Straatmeubilair, zoals vuilnisbakken, bankjes en bushokjes, dat vernield is",Vernielde straatmeubilair komt (soms) vaak voor in mijn buurt
64,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Geslacht (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht (herberekend zonder nvt)
65,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Onvoldoende voorzieningen in de buurt,Verhuisd vanwege onvoldoende voorzieningen in de buurt
66,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",De veiligheid,De veiligheid is veranderd in mijn buurt
67,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",Er zijn voldoende mensen met wie ik mij nauw verbonden voel.,Voldoende mensen met wie ik mij nauw verbonden voel
68,In welke mate voelt u zich gelukkig?,,In welke mate voelt u zich gelukkig?
69,Bent u iemand dieàà,zich door moeilijke tijden heen weet te slaan,Weet zich door moeilijke tijden heen te slaan
70,Waar of wanneer was dit? ,In café / restaurant of ander uitgaansgelegenheid (herberekend zonder nvt),Oneerlijk/ongelijk behandeld in café/restaurant of ander uitgaangsgelegenheid (herberekend zonder nvt)
71,Waarom heeft u geen melding gedaan bij de gemeente?,Het lukte niet om een melding te doen,Lukt niet om een melding te doen
72,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","(poging tot) Inbraak in uw woning, zonder diefstal",Slachtoffer geweest van (poging) tot inbraak in woning zonder diefstal
73,Voelt u zich wel eens onveilig?,,Voelt zich wel eens onveilig
74,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een koopwoning in plaats van huren,Verhuisd om een huis te kopen in plaats van te huren
75,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Iets anders,
76,Voelt u zich wel eens onveilig in uw eigen buurt?,,Voelt zich wel eens onveilig in eigen buurt
237,Heeft u voor uw woning:,"Heeft u: brandblusmiddelen, zoals brandblusser en/of branddeken",Brandblusmiddelen voor mijn woning
77,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",In mis mensen om me heen.,Mis mensen om me heen
78,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente heeft aandacht voor het verbeteren van de leefbaarheid en veiligheid.,De gemeente heeft aandacht voor het verbeteren van de leefbaarheid en veiligheid
79,Kunt u zich goed redden als het gaat om:,het aangaan en onderhouden van sociale contacten,Kan zich goed redden met het aangaan en onderhouden van sociale contacten
80,Heeft u zich het afgelopen jaar actief ingezet voor uw buurt?,,Actief ingezet voor mijn buurt
81,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Buurtbewoners staan altijd voor elkaar klaar.,Buurtbewoners staan altijd voor elkaar klaar
82,Krijgt u ergens hulp bij?,Administratie / financiën,Krijg hulp bij administratie/financiën
83,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik werk niet omdat ik langdurig ziek of arbeidsongeschikt ben.,Werk niet omdat ik langdurig ziek of arbeidsongeschikt ben
84,Bent u iemand dieàà,"gemakkelijk vrienden, familie of kennissen inschakelt als dat nodig is",Schakelt makkelijk vrienden/familie/kennissen in
85,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Bedreiging met lichamelijk geweld,Slachtoffer geweest van bedreiging met lichamelijk geweld
86,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de zorg van bewoners voor hun woning en tuin,Tevreden over de zorg van bewoners voor hun woning en tuin
87,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Afspreken met vrienden voor de gezelligheid of om samen leuke dingen te doen.,Vaak afspreken met vrienden
88,Heeft u voor uw woning:,Heeft u: extra veiligheidssloten of grendels op de buitendeuren,Extra veiligheidssloten/grendels op de buitendeuren van mijn woning 
89,Wilt u zich opgeven voor,Verloting,Ogegeven voor verloting
90,Waarom heeft u geen melding gedaan bij de gemeente?,Het was al opgelost,"Geen melding gedaan, was al opgelost"
91,Wat moeten we zeker behouden in deze buurt?,Open antwoord bij gesloten vraag,
92,Heeft u zich het afgelopen jaar actief ingezet voor uw buurt?,,Actief ingezet voor mijn buurt
93,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,voorzieningen voor jongeren,Tevreden over aanbod voorzieningen voor jongeren in de buurt
94,Krijgt u ergens hulp bij?,Uw psychische / geestelijke gezondheid,Krijg hulp bij psychische/geestelijke gezondheid
95,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",vrienden,Kan terugvallen op vrienden
96,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast door buurtbewoners,Overlast door buurtbewoners komen vaak voor in mijn buurt
97, Naar welk soort woonomgeving wilt u ?, Naar welk soort woonomgeving wilt u ?,Verhuizen naar welk soort woonomgeving
98,In wat voor type woning woont u?,In wat voor type woning woont u?,Type woning
99,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",Uiterlijk,Uiterlijk veranderd in mijn buurt
100,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,De mensen in de buurt kennen elkaar nauwelijks.,De mensen in de buurt kennen elkaar nauwelijks
101,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Wietplantages,Wietplantages komen voor in de buurt
102,Kunt u via een rapportcijfer aangeven hoe tevreden u bent over de wijze waarop de gemeente zich inzet voor de leefbaarheid en veiligheid bij u in de buurt?,,Rapportcijfer inzet gemeente voor de leefbaarheid en veiligheid in de buurt
103,Heeft u voor uw woning:,Heeft u: een werkende rookmelder,Werkende rookmelder voor mijn woning
104,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Parkeerproblemen, bijvoorbeeld fout geparkeerde voertuigen of drukte",Parkeerproblemen komt (soms) vaak voor in mijn buurt
105,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal VAN auto, motor of scooter","Slachtoffer geweest van diefstal van auto, motor of scooter"
106, Naar welk soort woonomgeving wilt u ?,Open antwoord bij gesloten vraag,
107,Voelt u zich medeverantwoordelijk voor de leefbaarheid en veiligheid in uw buurt?,,Voelt medeverantwoordelijk voor de leefbaarheid en veiligheid van mijn buurt
108,Krijgt u ergens hulp bij?,Huishoudelijke taken,Krijg hulp bij huishoudelijke taken
109,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet wat ze zegt.,De gemeente doet wat ze zegt
110,Waarom heeft u geen melding gedaan bij de gemeente?,Andere reden,
111," Welke huurprijs wilt u maximaal betalen bij verhuizing? Hierbij gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag.",,Maximale huurprijs  betaling bij verhuizing
112,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Jeugdcriminaliteit,Jeugdcriminaliteit komt (soms) vaak voor in mijn buurt
113,Wat moeten we zeker behouden in deze buurt?,Open antwoord bij gesloten vraag,
114,Vermeld hieronder uw e-mailadres. We gebruiken uw e-mailadres alleen voor wat u zelf heeft aangegeven.,,
115,Krijgt u ergens hulp bij?,Het aangaan en onderhouden van sociale contacten,Hulp bij aangaan en onderhouden van sociale contacten
116,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?, Mijn buurt is schoon.,Mijn buurt is schoon
117,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Woonomgeving / woonbuurt,Verhuisd vanwege omgeving/woonbuurt
118,Wat is voor u de belangrijkste reden om binnen twee jaar te willen verhuizen? ,Open antwoord bij gesloten vraag,
120,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,speelvoorzieningen (voor kinderen tot 12 jaar),Tevreden over aanbod speelvoorzieningen in de buurt
121,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",Er zijn voldoende mensen met wie ik mij nauw verbonden voel.,Voldoende mensen met wie ik mij nauw verbonden voel
122,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Agressief gedrag in het verkeer,Agressief gedrag in het verkeer komt (soms) vaak voor in mijn buurt
123,Komt het wel eens voor dat u à,zich niet op uw gemak voelt als u Æs avonds alleen  thuis bent?,Voelt zich thuis ongemakkelijk alleen
124,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Zelfstandig gaan wonen,Verhuisd om zelfstandig te wonen
125,Kunt u zich goed redden als het gaat om:,de opvoeding van uw kinderen,Kan zich goed redden met de opvoeding van kinderen
126,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,openbaar vervoer,Tevreden over aanbod openbaar vervoer
127,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik studeer/volg een opleiding/zit op school.,Studeer/volg een opleiding/zit op school
128,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Rondhangende jongeren,Rondhangende jongeren komt (soms) vaak voor in mijn buurt
129,Heeft u in de afgelopen 12 maanden het gevoel gehad oneerlijk of ongelijk behandeld te worden?,,Gevoel oneerlijk/ongelijk  behandeld te worden
130,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Ik heb nauwelijks/geen contact met mensen uit mijn buurt,Heb nauwelijks/geen contact met mensen uit mijn buurt
131,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen bij buurtpreventie (opletten wat er gebeurt en onregelmatigheden doorgeven aan de relevante instanties).,Helpen bij buurtpreventie
132,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een gezinslid of familielid,Geef mantelzorg aan gezinslid/familielid
133,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Culturele uitstapjes (theater, museum, filmfestival e.d.).",Vaak culturele uitstapjes gedaan
134,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik neem deel aan een re-integratietraject.,Neem deel aan re-integratietraject
135,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op school / op het schoolplein,Ontmoet de mensen uit mijn buurt op school / op het schoolplein
136,Waar woonde u?,3 antwoorden,
137,Waarom heeft u geen melding gedaan bij de gemeente?,Ik wist niet dat je hierover een melding bij de gemeente kon doen,Wist niet dat je melding kon doen bij de gemeente
138,Waarom heeft u geen melding gedaan bij de gemeente?,Door schuld- of schaamtegevoel,Geen melding gedaan door schuld- of schaamtegevoel
139,Vindt u dat er de afgelopen jaren sprake is van een toename van overlast door mensen met verward gedrag in uw buurt?,4 antwoorden,
140,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik verricht betaald werk voor minimaal 12 uur in de week.,Verricht betaald werk (minimaal 12uur per week)
141,De Gemeente Breda heeft een online burgerpanel: DigiPanel Breda. Een aantal keer per jaar wordt Bredanaars in een korte enquOte om hun mening gevraagd.,Open antwoord bij gesloten vraag,Mening Bredanaars
142,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege studie / werk,Verhuisd vanwege studie/werken
143,Is er de afgelopen jaren een toename van overlast door mensen met verward gedrag in uw buurt?,,Toename van overlast door mensen met verward gedrag 
144,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is te klein.,Woning is te klein
145,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een koopwoning in plaats van huren,Verhuisd om een huis te kopen in plaats van te huren
146,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het organiseren van (sociale en of jeugd-) activiteiten voor de buurt.,Helpen met organiseren van activiteiten voor de buurt
147,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Inbraak in uw woning, met diefstal",Slachtoffer geweest van inbraak/diefstal in woning 
148,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Zelfstandig gaan wonen,Verhuisd om zelfstandig te wonen
149,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",vrienden,Kan terugvallen op vrienden
150,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op school / op het schoolplein,Ontmoet de mensen uit mijn buurt op school / op het schoolplein
151,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Mensen die op straat worden lastig gevallen,Mensen die op straat  worden lastig gevallen komt (soms) vaak voor in mijn buurt
152,Heeft u voor uw woning:,Heeft u: afspraken over het ontvluchten van de woning bij brand,Afspraken over het ontvluchten van de woning bij brand
153,Heeft u het afgelopen jaar vrijwilligerswerk gedaan?,,Heeft vrijwilligerswerk gedaan
154,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning heeft dringend onderhoud nodig,Dringend onderhoud
155,Kunt u zich goed redden als het gaat om: ,"uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d. (herberekend zonder nvt)",Kan zich goed redden met algemene dagelijkse activiteiten (herberekend zonder nvt)
156,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt is voldoende parkeergelegenheid.,In mijn buurt is voldoende parkeergelegenheid
157,Heeft u voor uw woning:,Heeft u: afspraken over het ontvluchten van de woning bij brand,Afspraken over het ontvluchten van de woning bij brand
158,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben gepensioneerd/met prT-pensioen.,Ben gepensioneerd/met pré-pensioen
563,Waarom heeft u geen melding gedaan bij de gemeente?,Op advies van de politie,Geen melding gedaan op advies van de politie
159,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een koopwoning in plaats van huren,Verhuisd om een huis te kopen in plaats van te huren
160,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Leden van) Motorbendes,(Leden van) motorbendes komen voor in de buurt
161,Waarom heeft u geen melding gedaan bij de gemeente?,Het helpt toch niets,Helpt toch niet om melding te doen bij de gemeente
162,In hoeverre bent u het eens of oneens met onderstaande uitspraken?,De inzet van toezichthouders vergroot de veiligheid in mijn buurt.,De inzet van toezichthouders vergroot de veiligheid in mijn buurt.
163,Bent u iemand dieàà,"gemakkelijk vrienden, familie of kennissen inschakelt als dat nodig is",Schakelt makkelijk vrienden/familie/kennissen in
164,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden.","Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden"
165,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Ik woon in een gezellige buurt, waar mensen elkaar helpen en dingen samen doen.",Woon in gezellige buurt
166,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?,,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?
167,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",mensen in de buurt,Kan terugvallen op mensen in de buurt
168,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Seksuele voorkeur,Gevoel oneerlijk/ongelijk behandeld te zijn op seksuele voorkeur
169, Wilt u een nieuwe of een bestaande woning of een bouwkavel?,Open antwoord bij gesloten vraag,
170,"Heeft u of iemand in uw huishouden in de afgelopen 12 maanden te maken gehad met cyberpesten (roddel, getreiter, pesten, stalken, chantage of bedreiging via internet)?",Uzelf,Zelf te maken gehad met cyberpesten
